season,population,exchange rate,growth rate,GDP(million),GDP(average),GNI(million),GNI(average),income(million),income(average)
107-1,23571609,29.32,3.41,4498784,190824,4726683,200490,3996606,169523
107-2,23573132,29.78,3.42,4482674,190128,4563244,193545,3851267,163348
107-3,23575881,30.68,2.29,4597982,194996,4549158,192926,3889690,164958
107-4,23583210,30.86,2.12,4795582,203312,4950738,209891,4230879,179372
108-1,23589062,30.83,2.05,4580792,194163,4774328,202367,3987231,169005
108-2,23590112,31.15,2.99,4614922,195602,4764854,201956,3994494,169305
108-3,23592407,31.21,3.43,4770449,202174,4757231,201613,4023057,170499
108-4,23598452,30.51,3.7,4942469,209409,5088370,215591,4307760,182517
109-1,23599807,30.15,2.88,4711195,199628,4890504,207226,4071075,172503
109-2,23590158,29.93,0.62,4743777,201090,4881139,206914,4050957,171720
109-3,23576101,29.48,4.44,5107788,216649,5258723,223052,4457838,189081
109-4,23564807,28.77,5.39,5352046,227118,5456220,231540,4652674,197440
110-1,23543430,28.39,9.29,5300930,225230,5439134,231104,4565048,193962
110-2,23506566,27.99,7.85,5234720,222767,5342140,227339,4540278,193211
110-3,23459229,27.87,4.14,5422895,231240,5507387,234843,4634974,197640
110-4,23403131,27.84,5.23,5780437,247077,5908805,252564,5066643,216564
111-1,23322153,28,3.87,5644734,242033,5826202,249814,4872421,208918
111-2,23227635,29.46,2.95,5504295,236972,5668381,244036,4767552,205253
111-3,23192206,30.4,3.64,5713793,246367,5744070,247672,4784257,206287
111-4,23231387,31.37,-0.78,5803700,249822,6056989,260724,5038437,216881
112-1,23298785,30.4,-3.31,5489131,235597,5788693,248455,4693036,201428
112-2,23353106,30.71,1.36,5670576,242819,5909830,253064,4851874,207761
